subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
53,5,v2,2,new,toma,no,true,toma,new,7/25/2019,10:16,3666,2,right,right
53,5,v2,3,new,wug,yes,true,wug,new,7/25/2019,10:16,3325,2,right,right
53,5,v2,4,,sprock,yes,true,sprock,nomodifier,7/25/2019,10:16,2613,2,right,right
53,5,v2,5,,gade,yes,true,gade,nomodifier,7/25/2019,10:16,3771,2,right,right
53,5,v2,6,new,zorp,yes,true,zorp,new,7/25/2019,10:16,4416,2,right,right
53,5,v2,7,,koba,no,true,koba,nomodifier,7/25/2019,10:16,4445,2,right,right
53,5,v2,8,new,boti,no,true,boti,new,7/25/2019,10:16,3190,2,right,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
54,5,v3,1,new,blicket,no,true,blicket,new,7/25/2019,12:58,1893,2,right,right
54,5,v3,2,new,sprock,yes,true,sprock,new,7/25/2019,12:58,1442,1,left,left
