subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
15,4,v2,1,new,wug,yes,TRUE,wug,new,7/8/19,13:50,3240,1,left,left
15,4,v2,2,,koba,no,TRUE,koba,nomodifier,7/8/19,13:50,5291,2,right,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
15,4,v2,3,new,boti,no,TRUE,boti,new,7/8/19,13:50,2444,1,left,left
15,3,v2,1,,blicket,no,TRUE,blicket,nomodifier,7/8/19,13:50,9565,2,right,right
15,4,v2,4,,sprock,yes,TRUE,sprock,nomodifier,7/8/19,13:50,5164,1,left,left
15,3,v2,2,new,wug,yes,TRUE,wug,new,7/8/19,13:50,3857,2,right,right
15,4,v2,5,new,zorp,yes,TRUE,zorp,new,7/8/19,13:50,3364,2,right,right
15,3,v2,3,new,boti,no,TRUE,boti,new,7/8/19,13:50,4746,2,right,right
15,4,v2,6,,blicket,no,TRUE,blicket,nomodifier,7/8/19,13:50,6164,2,right,right
15,3,v2,4,,sprock,yes,FALSE,sprock,nomodifier,7/8/19,13:50,9198,1,left,right
15,4,v2,7,,gade,yes,TRUE,gade,nomodifier,7/8/19,13:50,8294,2,right,right
15,3,v2,5,,koba,no,TRUE,koba,nomodifier,7/8/19,13:50,6956,2,right,right
15,4,v2,8,new,toma,no,TRUE,toma,new,7/8/19,13:50,2779,2,right,right
15,3,v2,6,new,toma,no,TRUE,toma,new,7/8/19,13:50,3461,2,right,right
15,3,v2,7,new,zorp,yes,TRUE,zorp,new,7/8/19,13:50,7756,2,right,right
15,3,v2,8,,gade,yes,TRUE,gade,nomodifier,7/8/19,13:50,10595,2,right,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
16,6,v2,1,,gade,yes,TRUE,gade,nomodifier,7/8/19,14:11,6645,2,right,right
16,6,v2,2,new,wug,yes,TRUE,wug,new,7/8/19,14:11,3495,1,left,left
16,6,v2,3,new,zorp,yes,TRUE,zorp,new,7/8/19,14:11,2594,1,left,left
16,6,v2,4,,koba,no,FALSE,koba,nomodifier,7/8/19,14:11,463,1,left,right
16,6,v2,5,new,toma,no,FALSE,toma,new,7/8/19,14:11,3104,2,right,left
16,6,v2,6,new,boti,no,FALSE,boti,new,7/8/19,14:11,12069,1,left,right
16,6,v2,7,,sprock,yes,TRUE,sprock,nomodifier,7/8/19,14:11,10327,2,right,right
16,6,v2,8,,blicket,no,FALSE,blicket,nomodifier,7/8/19,14:11,1687,1,left,right
