subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v3,1,new,sprock,yes,false,sprock,new,12/3/2019,10:44,26022,1,left,right,true,true,gade
0,0,v4,1,,gade,no,true,gade,nomodifier,12/3/2019,10:46,7348,2,right,right,false,true,sprock
0,0,v3,2,,wug,yes,true,wug,nomodifier,12/3/2019,10:44,10465,2,right,right,true,false,zorp
0,0,v4,2,new,wug,no,false,wug,new,12/3/2019,10:46,11050,1,left,right,false,false,zorp
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v3,3,,toma,no,false,toma,nomodifier,12/3/2019,10:44,16065,2,right,left,false,true,boti
0,0,v5,1,,toma,yes,false,toma,nomodifier,12/3/2019,10:45,5647,2,right,left,true,false,boti
0,0,v4,3,new,toma,yes,false,toma,new,12/3/2019,10:46,19666,1,left,right,true,true,boti
0,0,v5,2,new,koba,yes,true,koba,new,12/3/2019,10:45,4958,1,left,left,false,false,blicket
0,0,v3,4,new,blicket,no,true,blicket,new,12/3/2019,10:44,8821,1,left,left,false,false,koba
0,0,v4,4,,koba,yes,true,koba,nomodifier,12/3/2019,10:46,4160,2,right,right,true,false,blicket
0,0,v5,3,new,gade,no,false,gade,new,12/3/2019,10:45,7178,2,right,left,false,true,sprock
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v5,4,,wug,no,false,wug,nomodifier,12/3/2019,10:45,18028,1,left,right,true,true,zorp
0,0,v3,1,,toma,no,false,toma,nomodifier,12/3/2019,10:48,5059,2,right,left,true,false,boti
0,0,v3,2,,wug,yes,false,wug,nomodifier,12/3/2019,10:48,7495,1,left,right,true,true,zorp
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v3,3,new,sprock,yes,true,sprock,new,12/3/2019,10:48,4972,2,right,right,false,true,gade
0,0,v8,1,,sprock,no,false,sprock,nomodifier,12/3/2019,10:48,5632,2,right,left,false,true,gade
0,0,v8,2,new,zorp,no,true,zorp,new,12/3/2019,10:48,35911,1,left,left,false,false,wug
0,0,v3,4,new,blicket,no,true,blicket,new,12/3/2019,10:48,58780,1,left,left,false,false,koba
0,0,v8,3,new,boti,yes,true,boti,new,12/3/2019,10:48,153077,2,right,right,true,false,toma
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v8,4,,blicket,yes,false,blicket,nomodifier,12/3/2019,10:48,7457,1,left,right,true,true,koba
0,0,v7,1,new,gade,yes,true,gade,new,12/3/2019,10:53,7444,1,left,left,true,true,sprock
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v7,2,,boti,no,false,boti,nomodifier,12/3/2019,10:53,6417,2,right,left,false,true,toma
0,0,v5,1,new,gade,no,false,gade,new,12/3/2019,10:53,4079,1,left,right,false,false,sprock
0,0,v7,3,,zorp,yes,true,zorp,nomodifier,12/3/2019,10:53,4668,2,right,right,true,false,wug
0,0,v5,2,new,koba,yes,true,koba,new,12/3/2019,10:53,9772,2,right,right,true,false,blicket
0,0,v7,4,new,koba,no,false,koba,new,12/3/2019,10:53,7528,1,left,right,false,false,blicket
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v5,3,,toma,yes,true,toma,nomodifier,12/3/2019,10:53,38883,1,left,left,true,true,boti
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v2,1,new,wug,yes,true,wug,new,12/3/2019,10:55,7350,1,left,left,true,true,zorp
0,0,v6,1,,gade,yes,false,gade,nomodifier,12/3/2019,10:55,11103,2,right,left,true,false,sprock
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v5,1,new,koba,yes,true,koba,new,12/3/2019,10:56,6769,2,right,right,false,true,blicket
0,0,v6,2,new,boti,no,true,boti,new,12/3/2019,10:55,30564,1,left,left,false,false,toma
0,0,v5,2,new,gade,no,true,gade,new,12/3/2019,10:56,11597,1,left,left,false,false,sprock
0,0,v5,3,,toma,yes,false,toma,nomodifier,12/3/2019,10:56,12073,2,right,left,true,false,boti
0,0,v6,3,new,zorp,yes,false,zorp,new,12/3/2019,10:55,28195,1,left,right,true,true,wug
0,0,v5,4,,wug,no,true,wug,nomodifier,12/3/2019,10:56,12875,1,left,left,true,true,zorp
0,0,v6,4,,koba,no,true,koba,nomodifier,12/3/2019,10:55,12527,2,right,right,false,true,blicket
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v3,1,,wug,yes,true,wug,nomodifier,12/3/2019,10:58,5955,2,right,right,false,true,zorp
0,0,v3,2,new,blicket,no,true,blicket,new,12/3/2019,10:58,5247,1,left,left,false,false,koba
0,0,v1,1,,zorp,no,false,zorp,nomodifier,12/3/2019,10:58,11212,2,right,left,true,false,wug
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v7,1,new,gade,yes,true,gade,new,12/3/2019,10:59,15564,1,left,left,false,false,sprock
0,0,v4,1,new,toma,yes,false,toma,new,12/3/2019,10:59,24913,1,left,right,true,true,boti
0,0,v7,2,,boti,no,false,boti,nomodifier,12/3/2019,10:59,9604,2,right,left,false,true,toma
0,0,v4,2,new,wug,no,true,wug,new,12/3/2019,10:59,12268,2,right,right,false,true,zorp
0,0,v7,3,,zorp,yes,false,zorp,nomodifier,12/3/2019,10:59,5210,2,right,left,true,false,wug
0,0,v4,3,,gade,no,true,gade,nomodifier,12/3/2019,10:59,6007,2,right,right,true,false,sprock
0,0,v7,4,new,koba,no,true,koba,new,12/3/2019,10:59,4105,1,left,left,true,true,blicket
0,0,v4,4,,koba,yes,false,koba,nomodifier,12/3/2019,10:59,6589,1,left,right,false,false,blicket
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v6,1,,gade,yes,true,gade,nomodifier,12/3/2019,11:01,11883,2,right,right,false,true,sprock
0,0,v5,1,,toma,yes,true,toma,nomodifier,12/3/2019,11:02,4615,2,right,right,false,true,boti
0,0,v5,2,new,koba,yes,false,koba,new,12/3/2019,11:02,15103,2,right,left,true,false,blicket
0,0,v6,2,,koba,no,false,koba,nomodifier,12/3/2019,11:01,22668,1,left,right,true,true,blicket
0,0,v5,3,,wug,no,true,wug,nomodifier,12/3/2019,11:02,4373,1,left,left,false,false,zorp
0,0,v6,3,new,zorp,yes,true,zorp,new,12/3/2019,11:01,4121,2,right,right,true,false,wug
0,0,v6,4,new,boti,no,true,boti,new,12/3/2019,11:01,11673,1,left,left,false,false,toma
0,0,v5,4,new,gade,no,true,gade,new,12/3/2019,11:02,32823,1,left,left,true,true,sprock
